"Player";"TotalPoints";"GamesPlayed";"AveragePoints"
"Hel G";"52520";"6";"8753"
"Henrik";"49761";"7";"7109"
"albert";"47134";"6";"7856"
"Martin";"47107";"6";"7851"
"Adrian";"45864";"6";"7644"
"Sofie";"45530";"5";"9106"
"Daniel ER";"44874";"6";"7479"
"Prebz";"43971";"6";"7328"
"Børrud";"43229";"6";"7205"
"Erik";"42577";"6";"7096"
"Oddvar";"42185";"6";"7031"
"Matilde";"42033";"6";"7006"
"Johannes";"41853";"6";"6976"
"Aleks";"41695";"6";"6949"
"Egil";"41447";"6";"6908"
"SH";"41070";"5";"8214"
"Oscar";"40307";"5";"8061"
"Eirik";"39888";"6";"6648"
"Akhil";"39228";"6";"6538"
"Jesper";"38559";"6";"6426"
"davidhne";"37605";"6";"6268"
"Stine";"36836";"6";"6139"
"Clemens";"36724";"5";"7345"
"Kasper";"36412";"6";"6069"
"Celine";"36353";"6";"6059"
"Jonas";"36035";"6";"6006"
"Lea T";"35669";"5";"7134"
"Stian";"34474";"5";"6895"
"Leo";"34003";"4";"8501"
"Anton";"33950";"5";"6790"
"Ivan";"33756";"6";"5626"
"Wilhelm";"33391";"5";"6678"
"Punzie";"32042";"4";"8010"
"Sollie";"30690";"5";"6138"
"Meow";"30077";"5";"6015"
"Martine";"29970";"5";"5994"
"Adele";"29436";"5";"5887"
"Linde";"28913";"4";"7228"
"Hannah";"28701";"4";"7175"
"Line Sofie";"28138";"4";"7034"
"Sigurd";"28059";"5";"5612"
"Lea";"27695";"5";"5539"
"Jenz";"27205";"4";"6801"
"Amalie";"25066";"4";"6266"
"Leona";"24564";"3";"8188"
"SivertE";"23824";"3";"7941"
"tara";"23542";"5";"4708"
"Philip";"22864";"4";"5716"
"Uros";"22827";"3";"7609"
"Olivia";"22110";"5";"4422"
"Ronny";"21889";"3";"7296"
"Isabella";"21212";"3";"7071"
"Rishi";"20586";"3";"6862"
"pop";"18727";"3";"6242"
"Zeynep";"17924";"5";"3585"
"JJ";"17100";"2";"8550"
"Lenny";"16766";"4";"4192"
"DavidR";"16678";"2";"8339"
"Sander B";"12264";"2";"6132"
"AZC";"10914";"3";"3638"
"Tomat";"10504";"1";"10504"
"VA";"8949";"1";"8949"
"Sai";"8428";"1";"8428"
"Meno";"8113";"1";"8113"
"Mikkel";"7510";"1";"7510"
"Rob";"7134";"1";"7134"
"Ilse";"7050";"1";"7050"
"Kevin";"7050";"1";"7050"
"Ayse Zeynep";"6934";"1";"6934"
"r0b";"6595";"1";"6595"
"Vittorio";"6464";"1";"6464"
"Ingri";"6235";"2";"3118"
"Kristine";"4766";"1";"4766"
"DVD";"3538";"1";"3538"
"Test123";"2825";"1";"2825"
"Bro";"1683";"1";"1683"
"AZ";"1329";"1";"1329"
"Sivert E";"909";"1";"909"
"Hei tor ivar";"0";"1";"0"
"Martini";"0";"1";"0"
"Kahoot";"0";"1";"0"
"Ekte kar";"0";"1";"0"
"nik";"0";"1";"0"
"Sivert";"0";"1";"0"
"Namibia";"0";"1";"0"
"SivertEikrem";"0";"1";"0"
