Player;Points
Adele;7757
adele;3631
Adele;7592
adele ;5513
adele ;4943
Adrian;7467
Adrian;4511
Adrian;8879
Adrian;5172
Adrian;8939
Adrian;10896
Akhil;7686
Akhil;6686
Akhil;7057
Akhil;3563
Akhil;4437
Akhil;9799
albert;8286
albert;5350
albert;8766
albert;5447
albert;8230
albert;11055
Aleks;6153
Aleks;4373
Aleks;10969
Aleks;5187
Aleks;5088
Aleks;9925
Amalie;5195
Amalie;9620
Amalie;5609
Amalie;4642
Anton;9027
Anton;4613
Anton;9670
Anton;3084
Anton;7556
Ayse Zeynep;6934
AZ;1329
AZC;2860
AZC;0
AZC;8054
Børrud;6520
Børrud;5651
Børrud;8481
Børrud;4884
Børrud;6872
Børrud;10821
Bro;1683
Celine;7465
Celine;4135
celine;7780
Celine;5022
Celine;5922
Celine;6029
Clemens;8114
Clemens;5211
Clemens;7791
Clemens;6853
Clemens;8755
Daniel ER;8318
Daniel ER;8113
Daniel ER;7716
Daniel ER;4856
Daniel ER;7416
Daniel ER;8455
davidhne;7933
davidhne;6902
davidhne;7268
davidhne;3047
davidhne;3055
davidhne;9400
DavidR;7925
DavidR;8753
DVD;3538
Egil;7641
Egil;4876
Egil;10024
Egil;2757
Egil;6401
Egil;9748
Eirik;4544
Eirik;5104
Eirik;8699
Eirik;4363
Eirik;7735
Eirik;9443
Ekte kar;0
Erik;8093
Erik;6138
Erik;7820
Erik;3981
Erik;7023
Erik;9522
Hannah;6939
Hannah;5936
Hannah;8985
Hannah;6841
Hei tor ivar;0
Hel G;8811
Hel G;8025
Hel G;10580
Hel G;5832
Hel G;9624
Hel G;9648
Henrik;8919
Henrik;7882
Henrik;9403
Henrik;0
Henrik;9957
Henrik;9164
Henrik;4436
Ilse;7050
Ingri;0
Ingri ;6235
Isabella ;6400
Isabella ;7124
Isabella ;7688
Ivan;6363
Ivan;4068
Ivan;6650
Ivan;4518
Ivan;4265
Ivan;7892
Jenz;7355
Jenz;7808
Jenz;3229
Jenz;8813
Jesper;6909
Jesper;2257
Jesper;9871
Jesper;4759
Jesper;5918
Jesper;8845
JJ;9156
JJ;7944
Johannes;7041
Johannes;7271
Johannes;8807
Johannes;4257
Johannes;5736
Johannes;8741
Jonas;6437
Jonas;7674
Jonas;9979
Jonas;1528
Jonas;1769
Jonas;8648
Kahoot;0
Kasper;6881
Kasper;4126
Kasper;8822
Kasper;2974
Kasper;3851
Kasper;9758
Kevin;7050
Kristine;4766
Lea;4368
lea;3061
Lea;8823
lea;5136
Lea;6307
Lea T;6277
Lea T;4661
Lea T;9743
Lea T;4884
Lea T;10104
Lenny;782
Lenny;6372
Lenny;4636
Lenny;4976
Leo;9038
Leo;8635
Leo;8108
Leo;8222
Leona;5609
Leona;8080
Leona;10875
Linde;2463
Linde;10708
Linde;7718
Linde;8024
Line Sofie;2266
Line Sofie;10267
Line Sofie ;7144
Line Sofie ;8461
Martin;7687
Martin;7425
Martin;9579
Martin;3914
Martin;9256
Martin;9246
Martine;4593
Martine;2357
Martine;9479
Martine;5861
Martine;7680
Martini;0
Matilde;7160
Matilde;5999
Matilde;10205
Matilde;4342
Matilde;5247
Matilde;9080
Meno;8113
Meow;5708
Meow;5750
meow;8799
Meow;860
Meow;8960
Mikkel;7510
Namibia;0
nik;0
Oddvar;7892
Oddvar;2283
Oddvar;10016
Oddvar;5466
Oddvar;6131
Oddvar;10397
Olivia;3505
Olivia;3348
Olivia;6117
Olivia;2336
Olivia;6804
Oscar;8899
Oscar;9224
Oscar;4193
Oscar;7331
Oscar;10660
Philip;7982
Philip;4578
Philip;5163
Philip;5141
pop;3811
pop;9027
pop;5889
Prebz;8105
Prebz;6577
Prebz;8666
Prebz;3927
Prebz;7674
Prebz;9022
Punzie;7618
Punzie;5098
Punzie;8065
Punzie;11261
r0b;6595
Rishi;5457
rishi;8113
rishi;7016
Rob;7134
Ronny;3463
Ronny;10011
Ronny;8415
Sai;8428
Sander B;8119
Sander B;4145
SH;8524
SH;7051
SH;7812
SH;8514
SH;9169
Sigurd;5263
Sigurd;8262
Sigurd;3888
Sigurd;6728
Sigurd ;3918
Sivert;0
Sivert E;909
SivertE;6829
SivertE;9144
SivertE;7851
SivertEikrem;0
Sofie;7317
Sofie;8090
Sofie;11097
Sofie;8957
Sofie;10069
Sollie;6284
Sollie;4246
Sollie;6862
Sollie;5087
Sollie;8211
Stian;8095
Stian;6548
Stian;8958
Stian;1250
Stian;9623
Stine;2590
Stine;6094
Stine;8910
Stine;4816
Stine ;5997
Stine ;8429
tara;4525
Tara;2956
Tara;7580
Tara;0
Tara;8481
Test123;2825
Tomat;10504
Uros;8954
Uros;5745
Uros;8128
VA;8949
Vittorio ;6464
Wilhelm;5232
Wilhelm;10725
Wilhelm;9830
Wilhelm ;1437
Wilhelm ;6167
Zeynep;3626
Zeynep;4172
Zeynep;0
Zeynep ;4575
Zeynep ;5551
